Recording	Participant	Timeline	TOI	Interval	Media	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	1	Encuesta TFG (1)	0													
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	2	Encuesta TFG (1)	24	209,42	31,03	981,16	280,74	6,47	0,51	24,6	155,37	2221	271,21	87,15	61,28	4,18
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	3	Encuesta TFG (1)	0													
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	4	Encuesta TFG (1)	47	90,93	30,17	389,21	77,28	2,8	0,67	16,88	131,81	73	87,87	176,96	108,69	5,91
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	5	Encuesta TFG (1)	52	85,81	30,49	456,89	70,28	2,47	0,59	7,16	128,39	245	92,31	72,24	64,75	1,28
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	6	Encuesta TFG (1)	47	102,68	30,29	725,97	114,09	3,19	0,53	17,85	150,05	452	164,1	52,44	52,44	1,63
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	7	Encuesta TFG (1)	1	55,07	55,07	55,07		1,37	1,37	1,37	1,37	275	108,11	55,07	43,24	1,37
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	8	Encuesta TFG (1)	181	72,49	30,26	237,95	44,23	2,32	0,6	8,08	419,02	86	109,51	53,17	51,05	1,91
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	9	Encuesta TFG (1)	0													
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	10	Encuesta TFG (1)	7	150,32	36,43	604,09	203	3,63	0,57	11,89	25,38	21	87,94	604,09	236,58	11,89
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform)	1		17	68,43	30,48	191,02	38,55	1,98	0,65	4,12	33,68	535	90,88	112,72	79,8	2,76
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform?fbzx=-6775790490930226092)	1	Encuesta TFG (17)	12	151	59,4	352,42	87,15	4,6	1,62	9,87	55,17	408	95,46	102,24	67,7	2,23
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform?usp=send_form)	1		2	256,25	54,74	457,75	284,97	6,42	2,07	10,78	12,85	167	349,53	457,75	202,04	10,78
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	260	98,25	30,27	818,57	131,03	3,05	0,54	28,26	794,01	194	91,22	83,84	80,32	2,92
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	214	108,61	30,13	672,23	135,47	3,12	0,54	20,43	668,55	246	160,03	217,37	123,85	8,24
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	45	166,88	39,21	798,33	167,57	4,8	1,24	16,47	215,81	443	87,98	129,94	77	4,33
Recording1	Participant1	Timeline1-Mode1	Entire Recording	1	MochilaClaro,PatataClaro,Questionnaire1 Recording1,Text1	982	105,53	30,13	981,16	128,05	3,25	0,51	28,26	3188,24	258	350,84	139,96	99,51	4,87
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	1	Encuesta TFG (1)	1	181,3	181,3	181,3		6,49	6,49	6,49	6,49	36	260,64	181,3	112,95	6,49
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	2	Encuesta TFG (1)	60	141,61	30,06	842,64	190,67	3,9	0,52	16,82	234	2	87,68	50,68	42,98	2,11
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	3	Encuesta TFG (1)	0													
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	4	Encuesta TFG (1)	55	89,81	30,49	494,42	80,21	2,59	0,62	9,14	142,42	680	97,13	192,65	125,19	5,91
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	5	Encuesta TFG (1)	1	555,08	555,08	555,08		13,94	13,94	13,94	13,94	40	91	555,08	202,01	13,94
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	6	Encuesta TFG (1)	36	102,53	31,63	617,16	111,65	2,83	0,57	12,45	101,72	80	254,46	62,86	59,13	2,16
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	7	Encuesta TFG (1)	1	161,07	161,07	161,07		3,62	3,62	3,62	3,62	26	282,67	161,07	96,77	3,62
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	8	Encuesta TFG (1)	257	77,86	30,17	465,41	57,66	2,45	0,52	11,85	630,43	157	130,29	60,69	55,54	2,26
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	9	Encuesta TFG (1)	0													
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	10	Encuesta TFG (1)	5	236,59	62,45	548,55	202,49	5,49	1,32	11,6	27,45	83	86,7	548,55	228,68	11,6
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform)	1		18	153,82	35,5	817,36	197,76	3,93	0,74	19,46	70,81	303	265,72	244,28	244,28	4,54
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform?fbzx=-7481335671491817429)	1	Encuesta TFG (24)	2	64,78	63,07	66,5	2,43	2,28	2,24	2,33	4,57	16	89,92	63,07	59,08	2,24
Recording2	Participant2	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform?usp=send_form)	1		1	422,31	422,31	422,31		15,33	15,33	15,33	15,33	256	318,71	422,31	225,54	15,33
Recording2	Participant2	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	247	92,07	30,24	730,54	122,66	2,77	0,67	15,91	684,59	410	65,25	124,5	94,87	3,56
Recording2	Participant2	Timeline1-Mode1	PatataClaro	1	PatataClaro	177	112,38	30,33	711,64	149,38	3,13	0,29	19,1	554,75	255	178,29	419,92	239,03	12,57
Recording2	Participant2	Timeline1-Mode1	Text1	1	Text1	36	127,12	30,77	746,11	123,18	3,77	0,68	17,23	135,86	210	220,65	139,02	105,33	3,7
Recording2	Participant2	Timeline1-Mode1	Entire Recording	1	MochilaClaro,PatataClaro,Questionnaire1 Recording2,Text1	981	103,69	30,06	842,64	124,94	3,08	0,29	19,46	3017,29	1474	282,29	255,79	159,73	7,8
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	1	Encuesta TFG (1)	0													
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	2	Encuesta TFG (1)	62	79,87	31,01	690,31	96,96	2,51	0,68	17,96	155,49	65	259,57	58,73	57,37	2,2
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	3	Encuesta TFG (1)	1	92,76	92,76	92,76		2,66	2,66	2,66	2,66	92	263,87	92,76	76,16	2,66
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	4	Encuesta TFG (1)	35	65,62	32,5	209,05	40,44	2,31	0,89	6,88	80,73	138	96,9	142,33	94,58	4,55
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	5	Encuesta TFG (1)	0													
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	6	Encuesta TFG (1)	26	68,84	32,14	352,26	64,37	2,09	0,51	8,78	54,43	241	100,71	82,22	72,21	2,55
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	7	Encuesta TFG (1)	1	33,22	33,22	33,22		0,7	0,7	0,7	0,7	84	257,21	33,22	33,22	0,7
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	8	Encuesta TFG (1)	90	63,43	30,14	228,14	42,02	2,12	0,51	7,55	190,77	930	95,97	49,51	49,45	1,67
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	9	Encuesta TFG (1)	0													
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	10	Encuesta TFG (1)	9	100,47	30,93	285,73	81,33	3,31	0,98	10,53	29,82	62	87,16	285,73	202,51	10,53
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform)	1		28	99,9	31,84	307,37	86,45	2,8	0,71	7,29	78,27	458	89,15	82,68	72,94	2,75
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform?fbzx=-3431272757320932676)	1	Encuesta TFG (30)	2	53,36	35,8	70,93	24,84	1,79	0,87	2,71	3,58	186	72,68	35,8	35,8	0,87
Recording3	Participant3	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform?usp=send_form)	1		0													
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	193	99,71	30	732,05	160,99	2,8	0,64	14,15	541,15	205	95,04	107,02	68,88	3,54
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	109	99,15	30,06	612,04	140,28	2,64	0,73	10,23	288,1	267	152,74	389,54	152,24	7,54
Recording3	Participant3	Timeline2-Mode2	Text	1	Text	40	132,5	31,51	700,32	154,73	3,7	0,99	17,95	148,2	240	346,6	502,34	502,34	8,31
Recording3	Participant3	Timeline2-Mode2	Entire Recording	1	MochilaOscuro,PatataOscuro,Questionnaire2 Recording3,Text	722	101,11	30	743,34	127,7	3,03	0,51	17,96	2191,14	276	337,61	394,55	394,55	6,65
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	1	Encuesta TFG (1)	1	587,83	587,83	587,83		12,69	12,69	12,69	12,69	60	306,26	587,83	250,45	12,69
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	2	Encuesta TFG (1)	13	122,05	32,44	433,06	117,88	3,89	0,8	13,19	50,56	425	99,2	41,52	41,52	1,61
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	3	Encuesta TFG (1)	0													
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	4	Encuesta TFG (1)	38	84,8	34,27	226,99	47,43	2,61	0,72	7,88	99,3	90	86,63	73,02	58,6	2,15
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	5	Encuesta TFG (1)	1	60,36	60,36	60,36		2,24	2,24	2,24	2,24	7	291,69	60,36	45,5	2,24
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	6	Encuesta TFG (1)	32	89,99	32,45	481,58	88,21	2,82	0,81	12,39	90,32	143	126,83	42,76	42,76	0,81
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	7	Encuesta TFG (1)	1	362,19	362,19	362,19		8,73	8,73	8,73	8,73	147	92,64	362,19	238,57	8,73
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	8	Encuesta TFG (1)	133	90,27	30,02	449,54	72,94	2,72	0,62	14,81	361,34	820	311,32	33,3	33,3	2,89
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	9	Encuesta TFG (1)	1	423,62	423,62	423,62		9,18	9,18	9,18	9,18	8	150,5	423,62	176,81	9,18
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	10	Encuesta TFG (1)	5	139,96	39,24	432,73	165,63	3,43	2,01	7,34	17,16	91	338,07	432,73	432,73	7,34
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform)	1		23	132,07	31,41	806,79	158,52	3,54	0,69	16,1	81,47	175	223,04	86,77	61,14	2,61
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform?fbzx=5148156048022988677)	1	Encuesta TFG (36)	1	182,26	182,26	182,26		6,64	6,64	6,64	6,64	222	86,16	182,26	130,69	6,64
Recording4	Participant4	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform?usp=send_form)	1		1	56,54	56,54	56,54		2,28	2,28	2,28	2,28	263	347,36	56,54	54,3	2,28
Recording4	Participant4	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	121	109,37	30,78	839,88	146,1	3,24	0,59	19,68	392,3	271	88,91	91,11	85,14	3,11
Recording4	Participant4	Timeline1-Mode1	PatataClaro	1	PatataClaro	121	106,33	31,11	806,96	145,83	2,96	0,56	18,09	358,07	222	132,26	627,15	627,15	11,19
Recording4	Participant4	Timeline1-Mode1	Text1	1	Text1	39	163,2	34,27	939,42	190,75	4,26	1,15	18,35	166,09	250	121,59	286,41	140,23	7,12
Recording4	Participant4	Timeline1-Mode1	Entire Recording	1	MochilaClaro,PatataClaro,Questionnaire1 Recording4,Text1	631	112,06	30,02	939,42	126,59	3,33	0,56	19,68	2099,53	1141	81,58	31,25	31,25	1,1
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	1	Encuesta TFG (1)	1	132	132	132		4,24	4,24	4,24	4,24	151	245,44	132	91,05	4,24
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	2	Encuesta TFG (1)	28	99,38	30,08	484,95	101,96	2,88	0,54	16,87	80,51	50	88,24	56,83	51,9	2,02
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	3	Encuesta TFG (1)	1	285,59	285,59	285,59		6,94	6,94	6,94	6,94	87	267,25	285,59	133,99	6,94
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	4	Encuesta TFG (1)	69	77,52	30,55	404,6	70,67	2,31	0,39	9,54	159,33	158	98,12	123,53	96,37	3,37
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	5	Encuesta TFG (1)	0													
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	6	Encuesta TFG (1)	39	75,84	30,86	254,01	51,01	2,16	0,61	9,83	84,35	1669	68,15	39,56	38,29	1,54
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	7	Encuesta TFG (1)	1	86,79	86,79	86,79		2,72	2,72	2,72	2,72	95	53,66	86,79	74,25	2,72
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	8	Encuesta TFG (1)	140	86,61	30,13	527,59	67,14	2,46	0,25	9,53	344,26	44	262,97	76,77	76,77	1,37
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	9	Encuesta TFG (1)	0													
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	10	Encuesta TFG (1)	9	98,73	35,27	230,03	63,79	2,78	0,58	5,36	25	82	90,36	167,26	94,27	4,87
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform)	1		28	107,81	36,11	749,29	138,73	3,32	0,89	15,02	93,09	84	104,02	81,75	68,01	2,55
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform?fbzx=-8201276150994792580)	1	Encuesta TFG (42)	2	66,73	52,47	80,99	20,17	2,31	2,07	2,55	4,62	217	251,53	52,47	47,76	2,07
Recording5	Participant5	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/viewform?usp=send_form)	1		1	61,78	61,78	61,78		1,31	1,31	1,31	1,31	116	155,29	61,78	61,78	1,31
Recording5	Participant5	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	180	80,63	30	605,34	107,33	2,14	0,35	13,25	384,49	597	267,2	37,35	37,35	0,56
Recording5	Participant5	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	120	79,57	30,32	541,98	94,18	2,26	0,33	10,83	270,7	495	146,84	57,81	49,49	2,03
Recording5	Participant5	Timeline2-Mode2	Text	1	Text	23	171,61	31,31	712,25	174,58	4,51	0,37	15,37	103,64	54	106,79	31,31	31,31	0,37
Recording5	Participant5	Timeline2-Mode2	Entire Recording	1	MochilaOscuro,PatataOscuro,Questionnaire2 Recording5,Text	752	88,48	30	873,99	99,02	2,63	0,25	16,87	1975,44	726	41,73	124,66	124,66	2,12
Recording6	Participant6	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	1	Encuesta TFG (1)	0													
Recording6	Participant6	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	2	Encuesta TFG (1)	30	128,22	31,13	486,4	131,16	4,11	0,69	18,92	123,35	1158	274,69	36,15	36,15	1,36
Recording6	Participant6	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	3	Encuesta TFG (1)	0													
Recording6	Participant6	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	4	Encuesta TFG (1)	50	77,95	30,26	486,55	76,17	2,27	0,69	10,71	113,66	595	15,42	47,7	47,7	0,88
Recording6	Participant6	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	5	Encuesta TFG (1)	0													
Recording6	Participant6	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	6	Encuesta TFG (1)	47	73,57	31,11	245,86	46,52	2,21	0,68	5,56	103,78	573	61,39	42,92	42,92	2,09
Recording6	Participant6	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	7	Encuesta TFG (1)	1	140,27	140,27	140,27		5,02	5,02	5,02	5,02	29	100,43	140,27	96,15	5,02
Recording6	Participant6	Timeline2-Mode2	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	8	Encuesta TFG (1)	127	79,18	30,17	292,14	53,92	2,42	0,57	7,2	306,96	148	186,09	33,78	33,78	1,25
